bot,method,coin,avg_cost,exit_price,pnl_pct,pnl_usdt,dca_count,invested,hold_hrs,exit_reason,btc_regime,btc_24h_change,btc_dominance,market_age_days,opened_at,exit_time,category
E39-2,E39,KINS,0.010679000000000000,0.010957000000000000,2.60324000000000000000,2.60324000,0.0,100.00000000,3.8964694747222222,tp,,0.1405,56.36,,2026-06-16 15:19:45.911541,2026-06-16 19:13:33.201650,micro
E39-4,E39,KTA,0.157800000000000000,0.161900000000000000,2.59822560000000000000,2.59822560,0.0,100.00000000,24.2853955497222222,tp,,0.1405,56.56,,2026-06-13 23:19:03.372465,2026-06-14 23:36:10.796444,micro
E39-3,E39,KTA,0.157800000000000000,0.161900000000000000,2.59822560000000000000,2.59822560,0.0,100.00000000,24.2854043175000000,tp,,0.1405,56.56,,2026-06-13 23:19:03.338608,2026-06-14 23:36:10.794151,micro
E39-5,E39,KTA,0.157800000000000000,0.161900000000000000,2.59822560000000000000,2.59822560,0.0,100.00000000,24.2853089938888889,tp,,0.1405,56.56,,2026-06-13 23:19:03.685992,2026-06-14 23:36:10.798370,micro
E39-1,E39,KTA,0.157800000000000000,0.161900000000000000,2.59822560000000000000,2.59822560,0.0,100.00000000,24.2854381675000000,tp,,0.1405,56.56,,2026-06-13 23:19:03.075690,2026-06-14 23:36:10.653093,micro
E39-5,E39,DHN,3.398000000000000000,3.486000000000000000,2.58975869000000000000,2.58975869,0.0,100.00000000,174.4797927480555556,tp,,,,,2026-06-10 12:49:45.963258,2026-06-17 19:18:33.217151,micro
E39-2,E39,DOT,0.931000000000000000,0.955100000000000000,2.58861440000000000000,2.58861440,0.0,100.00000000,34.6837488125000000,tp,,,,,2026-06-10 12:22:08.008623,2026-06-11 23:03:09.504348,mid
E39-1,E39,STOS,0.006570000000000000,0.006740000000000000,2.58751903000000000000,2.58751903,0.0,100.00000000,7.7604210166666667,tp,,,,,2026-06-11 06:24:39.719280,2026-06-11 14:10:17.234940,micro
E39-2,E39,STOS,0.006570000000000000,0.006740000000000000,2.58751903000000000000,2.58751903,0.0,100.00000000,7.8137065294444444,tp,,,,,2026-06-11 06:21:27.742481,2026-06-11 14:10:17.085987,micro
E39-4,E39,STOS,0.006570000000000000,0.006740000000000000,2.58751903000000000000,2.58751903,0.0,100.00000000,7.9121900916666667,tp,,,,,2026-06-11 06:15:33.189140,2026-06-11 14:10:17.073470,micro
E39-5,E39,STOS,0.006570000000000000,0.006740000000000000,2.58751903000000000000,2.58751903,0.0,100.00000000,7.9121812133333333,tp,,,,,2026-06-11 06:15:33.225459,2026-06-11 14:10:17.077827,micro
E39-3,E39,STOS,0.006570000000000000,0.006740000000000000,2.58751903000000000000,2.58751903,0.0,100.00000000,7.8136606980555556,tp,,,,,2026-06-11 06:21:27.911078,2026-06-11 14:10:17.089591,micro
E39-4,E39,WBT,51.025000000000000000,52.342000000000000000,2.58108792000000000000,2.58108792,0.0,100.00000000,103.7764631383333333,tp,,-0.9431,55.98,,2026-06-18 16:19:13.878394,2026-06-23 00:05:49.145692,mid
E39-5,E39,WBT,51.025000000000000000,52.342000000000000000,2.58108792000000000000,2.58108792,0.0,100.00000000,103.7764413925000000,tp,,-0.9431,55.98,,2026-06-18 16:19:13.962553,2026-06-23 00:05:49.151566,mid
E39-3,E39,QORPO,0.001434000000000000,0.001471000000000000,2.58019526000000000000,2.58019526,0.0,100.00000000,17.0840269291666667,tp,,0.1405,56.45,,2026-06-16 04:12:32.195259,2026-06-16 21:17:34.692204,micro
E39-4,E39,QORPO,0.001434000000000000,0.001471000000000000,2.58019526000000000000,2.58019526,0.0,100.00000000,17.0840124747222222,tp,,0.1405,56.45,,2026-06-16 04:12:32.251416,2026-06-16 21:17:34.696325,micro
E39-5,E39,CS,1.291600000000000000,1.324900000000000000,2.57819758000000000000,2.57819758,0.0,100.00000000,4.3577914016666667,tp,,-0.9431,55.93,,2026-06-18 17:18:55.789021,2026-06-18 21:40:23.838067,micro
E39-5,E39,EDEN,0.039360000000000000,0.040370000000000000,2.56605691000000000000,2.56605691,0.0,100.00000000,5.6476547547222222,tp,,,,,2026-06-10 12:01:18.946120,2026-06-10 17:40:10.503237,micro
E39-4,E39,XYZ,0.000008970000000000,0.000009200000000000,2.56410256000000000000,2.56410256,0.0,100.00000000,0.83928411111111111111,tp,,,,,2026-06-12 16:20:25.151870,2026-06-12 17:10:46.574670,micro
E39-3,E39,XYZ,0.000008970000000000,0.000009200000000000,2.56410256000000000000,2.56410256,0.0,100.00000000,0.83937250972222222222,tp,,,,,2026-06-12 16:20:24.832039,2026-06-12 17:10:46.573074,micro
E39-5,E39,XYZ,0.000008970000000000,0.000009200000000000,2.56410256000000000000,2.56410256,0.0,100.00000000,0.83918835500000000000,tp,,,,,2026-06-12 16:20:25.519926,2026-06-12 17:10:46.598004,micro
E39-1,E39,XYZ,0.000008970000000000,0.000009200000000000,2.56410256000000000000,2.56410256,0.0,100.00000000,0.83949737500000000000,tp,,,,,2026-06-12 16:20:24.378956,2026-06-12 17:10:46.569506,micro
E39-2,E39,XYZ,0.000008970000000000,0.000009200000000000,2.56410256000000000000,2.56410256,0.0,100.00000000,0.83944006527777777778,tp,,,,,2026-06-12 16:20:24.587015,2026-06-12 17:10:46.571250,micro
E39-3,E39,WBT,51.036000000000000000,52.342000000000000000,2.55897813000000000000,2.55897813,0.0,100.00000000,103.7174998355555556,tp,,-0.9431,55.98,,2026-06-18 16:22:46.178231,2026-06-23 00:05:49.177639,mid
E39-5,E39,EDGEN,0.001257000000000000,0.001289000000000000,2.54574383000000000000,2.54574383,0.0,100.00000000,15.1992524591666667,tp,,,,,2026-06-10 09:16:06.395524,2026-06-11 00:28:03.704377,micro
E39-3,E39,QNT,68.130000000000000000,69.860000000000000000,2.53926309000000000000,2.53926309,0.0,100.00000000,3.7291099994444444,tp,,-0.9431,55.98,,2026-06-18 16:19:13.822434,2026-06-18 20:02:58.618432,mid
E39-2,E39,QNT,68.130000000000000000,69.860000000000000000,2.53926309000000000000,2.53926309,0.0,100.00000000,3.7291299141666667,tp,,-0.9431,55.98,,2026-06-18 16:19:13.746643,2026-06-18 20:02:58.614334,mid
E39-5,E39,BNC,0.021280000000000000,0.021820000000000000,2.53759398000000000000,2.53759398,0.0,100.00000000,101.4622172277777778,tp,,,,,2026-06-10 12:24:42.973779,2026-06-14 17:52:26.955799,micro
E39-4,E39,BNC,0.021280000000000000,0.021820000000000000,2.53759398000000000000,2.53759398,0.0,100.00000000,101.8522393511111111,tp,,,,,2026-06-10 12:01:18.868095,2026-06-14 17:52:26.929759,micro
E39-1,E39,EPIC,0.501200000000000000,0.513900000000000000,2.53391859000000000000,2.53391859,0.0,100.00000000,20.5093599000000000,tp,,0.1405,56.61,,2026-06-15 09:07:51.629669,2026-06-16 05:38:25.325309,micro
E39-5,E39,EPIC,0.501200000000000000,0.513900000000000000,2.53391859000000000000,2.53391859,0.0,100.00000000,20.5091401780555556,tp,,0.1405,56.61,,2026-06-15 09:07:52.417458,2026-06-16 05:38:25.322099,micro
E39-4,E39,EPIC,0.501200000000000000,0.513900000000000000,2.53391859000000000000,2.53391859,0.0,100.00000000,20.5092010100000000,tp,,0.1405,56.61,,2026-06-15 09:07:52.194932,2026-06-16 05:38:25.318568,micro
